id,title,price,address,url,property_type,modifiedAt,active,lat,lng
0,Alugo casa estilo kitnet ,R$ 800,"Rua Torres Homem, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-casa-estilo-kitnet-1355828350,Casas,19/11/2024 22:03:03,True,-8.03761205,-34.954087425
1,PENSIONATO CIDADE UNIVERSITÁRIA - UFPE,R$ 680,"Rua Deputado Cunha Rabelo, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/pensionato-cidade-universitaria-ufpe-1316924785,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0455847,-34.9478451
2,Quarto privativo - Madalena,R$ 650,"Rua Demócrito de Souza Filho, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/quarto-privativo-madalena-1355931998,Aluguel de quartos,19/11/2024 22:03:03,True,-8.057334,-34.9059977
3,Quarto individual Masculino,R$ 500,"Rua Elpídio Branco, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/quarto-individual-masculino-1355865426,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0403065,-34.9501129
4,"Casa em ótima localização, próximo ao centro!",R$ 750,"Rua Rodrigo Delamare, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-em-otima-localizacao-proximo-ao-centro-1355784536,Casas,19/11/2024 22:03:03,True,-8.034775,-34.9824307
5,Casa próximo a ufpe 600mts ,R$ 950,"Rua Canaã, Cidade Universitária, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-proximo-a-ufpe-600mts-1129224132,Casas,19/11/2024 22:03:03,True,-8.0148472,-34.9238903
6,Casa para Alugar - Próximo ao Centro,R$ 500,"Vila Assunção, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-para-alugar-proximo-ao-centro-1355680531,Casas,19/11/2024 22:03:03,True,-8.0425462,-34.9355396
7,Salas Aluguel Cidade Universitária Várzea,R$ 800,"Rua Visconde de Barbacena, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/salas-aluguel-cidade-universitaria-varzea-1355492941,Aluguel de quartos,19/11/2024 22:03:03,True,-8.06667,-34.95
8,Aluguel de casa,R$ 850,"Rua Guerra dos Mascates, Torrões, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluguel-de-casa-1355408406,Casas,19/11/2024 22:03:03,True,-8.0554462,-34.9376973
9,Kitnet  na caxangá,R$ 500,"2ª Travessa Cordislândia, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-na-caxanga-1355378286,Aluguel de quartos,19/11/2024 22:03:03,True,-8.042791,-34.929521
10,Aluga-se apartamento ,R$ 1.000,"Rua Desembargador Francisco Luíz, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-apartamento-1355360983,Apartamentos,19/11/2024 22:03:03,True,-8.0472249,-34.9232087
11,Quarto em apto Compartilhado,R$ 480,"Rua Mário Pederneiras, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/quarto-em-apto-compartilhado-1355321026,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0486852,-34.9556343
12,Quartos individuais para alunas de mestrado e doutorado próximo a UFPE,R$ 580,"Rua Tomé do Rego Cavalcanti, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/quartos-individuais-para-alunas-de-mestrado-e-doutorado-proximo-a-ufpe-1355301860,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0488251,-34.9551351
13,Loft Derby,R$ 150,"Rua Arlindo Gouveia, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/loft-derby-1355197921,Apartamentos,19/11/2024 22:03:03,True,-8.0570025,-34.904007
14,Aluga-se um kitnet ,R$ 400,"Avenida Melvin Jones, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-um-kitnet-1354774742,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0325201,-34.9568051
15,kitnet próximo a UFPE na Várzea - Recife - PE,R$ 650,"Rua Estevão de Sá, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-proximo-a-ufpe-na-varzea-recife-pe-1354617408,Apartamentos,19/11/2024 22:03:03,True,-8.0383139,-34.9476699
